OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
-0.035,-0.038,-0.035,-0.07,5.3,4.339,-6.7,-1,-3,57,3,0
0.007,0.009,0.051,0.058,1.31,0.921,3.4,-0.7,0,2,0,1
0.007,0.006,0.045,0.051,0.04,0.831,4.8,2.2,2,-4,0,0
-0.029,-0.045,-0.137,-0.165,-3.28,-1.769,2,2.9,-2,-92,0,1
-0.028,-0.029,-0.092,-0.12,2.18,0.924,-1,-0.6,-1,15,-1,1
-0.006,-0.002,0.023,0.017,-2.99,-0.827,-2.2,1.1,-2,2,0,0
0.006,0.005,0.004,0.01,-0.64,-0.434,4.7,0,-1,30,0,0
-0.014,-0.009,0.032,0.018,1.89,1.638,7.1,-3,1,137,0,1
-0.069,-0.044,-0.088,-0.156,2.48,0.984,-3.4,-3.6,0,-76,0,1
0.057,0.07,0.112,0.169,2.08,1.436,-3.3,-3.1,3,64,0,0
0.007,0.003,0.038,0.045,2.84,1.938,1,-0.2,-1,43,0,0
0.031,0.035,0.136,0.167,1.81,0.776,-0.7,0.3,1,57,-1,1
-0.004,0.007,-0.019,-0.023,-0.14,-0.677,3.6,1.4,2,-24,0,0
-0.012,0.021,-0.04,-0.051,0.22,-0.218,-4.7,-0.6,-4,-22,1,0
0.015,0.021,0.026,0.041,-0.37,-0.111,-1.6,1.1,-1,-41,0,1
0.025,0.006,0.017,0.042,-2.65,-1.85,1.9,0.8,-3,39,4,0
0.058,0.033,0.17,0.228,-4.3,-0.852,1.8,1.5,-2,8,-1,0
0.054,0.053,0.098,0.152,-1.86,-0.878,-1.4,1.6,3,-8,1,0
-0.002,-0.014,-0.113,-0.114,0.78,-0.447,1.1,-2.7,-3,-88,-1,1
-0.018,-0.029,-0.059,-0.079,-2.23,-1.19,-0.2,2.5,-3,19,-2,0
-0.006,0.001,-0.012,-0.018,2.2,-0.89,-4.9,3.8,-1,-2,1,1
0.012,-0.008,-0.018,-0.007,-0.5,0.796,2.8,-0.1,-1,20,0,1
-0.016,-0.007,-0.008,-0.024,0.45,1.292,1,-0.3,1,147,1,1
-0.043,-0.046,-0.069,-0.112,-0.98,-0.389,4.4,-0.1,-1,-66,-1,0
0.022,0.019,-0.042,-0.021,-3.39,-1.081,-4.3,2.9,1,31,0,0
-0.007,0.003,-0.052,-0.059,0.63,-0.475,-1.9,-1.2,3,-26,1,1
0.004,0.001,0.03,0.034,-4.07,-0.275,0.5,-0.9,-2,14,0,1
0.008,0.013,0.046,0.054,2.19,0.605,-1.8,0.1,-2,22,-1,1
-0.012,-0.007,-0.007,-0.019,-1.24,0.762,0.5,0.1,-2,-94,-1,0
-0.017,-0.023,-0.01,-0.027,-9.35,-3.284,1.9,4,-4,-224,-1,0
-0.018,0.013,-0.06,-0.078,-0.48,-0.493,-8,-1.2,0,23,0,1
0.025,0.031,0.035,0.061,-0.78,-0.53,-3.2,-0.1,4,-3,-2,0
0,-0.009,0.039,0.039,2.21,1.887,-3.5,-2.1,2,50,1,1
-0.042,-0.02,-0.006,-0.048,3.82,3.982,-7.2,-4.3,0,-23,0,0
